epoch,w1_py,w2_py,b_py,w1_crn,w2_crn,b_crn
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.9337120926,-0.6105050093,0.0000000000,0.9337123011,-0.6105051025,0.0000002001
2,1.0920497292,-0.5311600026,-0.1000000000,1.0920499177,-0.5311600869,-0.0999997999
3,1.2351744118,-0.4594384009,-0.2000000000,1.2351745822,-0.4594384773,-0.1999997999
4,1.2824403810,-0.4010773346,-0.2000000000,1.2824405352,-0.4010774038,-0.1999997999
5,1.2313697784,-0.4018446316,-0.1000000000,1.2313699178,-0.4018446941,-0.0999997999
6,1.3611087017,-0.3425475477,-0.2000000000,1.3611088279,-0.3425476046,-0.1999997999
7,1.3024797095,-0.3489383401,-0.1000000000,1.3024798237,-0.3489383914,-0.0999997999
8,1.1773384968,-0.3154126224,-0.1000000000,1.1773386001,-0.3154126688,-0.0999997999
9,1.3122687026,-0.2644198571,-0.2000000000,1.3122687962,-0.2644198996,-0.1999997999
10,1.2583322186,-0.2783170957,-0.1000000000,1.2583323035,-0.2783171339,-0.0999997999
11,1.3854806122,-0.2308884390,-0.2000000000,1.3854806892,-0.2308884743,-0.1999997999
12,1.3245099863,-0.2480073496,-0.1000000000,1.3245100562,-0.2480073812,-0.0999997999
13,1.2693973695,-0.2634814888,0.0000000000,1.2693974330,-0.2634815172,0.0000002001
14,1.3233373848,-0.1781757377,-0.2000000000,1.3233374423,-0.1781757644,-0.1999997999
15,1.2597075023,-0.2646713979,-0.1000000000,1.2597075530,-0.2646714206,-0.0999998009
16,1.2929284645,-0.2720748877,-0.1000000000,1.2929285108,-0.2720749081,-0.0999998009
17,1.2408501752,-0.2852366370,0.0000000000,1.2408502175,-0.2852366552,0.0000001991
18,1.2975329822,-0.1978406686,-0.2000000000,1.2975330205,-0.1978406865,-0.1999998009
19,1.2363823662,-0.2824469379,-0.1000000000,1.2363823992,-0.2824469522,-0.0999998021
20,1.3656396840,-0.2346214893,-0.2000000000,1.3656397145,-0.2346215034,-0.1999998021
21,1.3065753587,-0.2513817314,-0.1000000000,1.3065753868,-0.2513817437,-0.0999998021
22,1.2531858866,-0.2665316627,0.0000000000,1.2531859126,-0.2665316735,0.0000001979
23,1.3086834883,-0.1809328533,-0.2000000000,1.3086835119,-0.1809328649,-0.1999998021
24,1.2464615405,-0.2671636120,-0.1000000000,1.2464615598,-0.2671636201,-0.0999998037
25,1.3747504593,-0.2208065732,-0.2000000000,1.3747504776,-0.2208065820,-0.1999998037
26,1.3061808496,-0.3032062967,-0.1000000000,1.3061808639,-0.3032063020,-0.0999998054
27,1.1806840344,-0.2740744773,-0.1000000000,1.1806840472,-0.2740744821,-0.0999998054
28,1.3152928036,-0.2270534481,-0.2000000000,1.3152928161,-0.2270534542,-0.1999998054
29,1.2524358381,-0.3088529768,-0.1000000000,1.2524358469,-0.3088529794,-0.0999998074
30,1.3801507511,-0.2584904570,-0.2000000000,1.3801507601,-0.2584904612,-0.1999998073
